*Are you self-employed?*,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",*Do you have previous employers?*,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you *currently* have a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work *when being treated effectively?*","If you have a mental health disorder, how often do you feel that it interferes with your work *when* _*NOT*_* being treated effectively (i.e., when you are experiencing symptoms)?*",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up your *mental* health with a potential employer in an interview?,Why or why not?.1,Are you openly identified at work as a person with a mental health issue?,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Have you observed or experienced an *unsupportive or badly handled response* to a mental health issue in your current or previous workplace?,Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Would you be willing to talk to one of us more extensively about your experiences with mental health issues in the tech industry? (Note that all interview responses would be used _anonymously_ and only with your permission.),What is your age?,What is your gender?,What country do you *live* in?,What US state or territory do you *live* in?,What is your race?,What country do you *work* in?,What US state or territory do you *work* in?
False,100-500,True,True,Yes,Yes,No,I don't know,Yes,Very easy,Same level of comfort for each,Yes,True,Yes,True,True,5.0,5.0,False,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.587837837837838,3.527027027027027,Possibly,Possibly,True,No,Not applicable to me,Sometimes,No,5,Yes,"
",No,"
",False,5,Maybe/Not sure,"Yes, I experienced",4,"
",False,40,M,United Kingdom,California,White,United Kingdom,California
True,More than 1000,True,True,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Yes,False,Maybe,False,False,6.328947368421052,4.878289473684211,True,True,"No, none did",N/A (none offered),Some did,Some did,No,Physical health,Some of my previous supervisors,True,At some of my previous employers,False,True,7.0,5.0,No,No,False,No,Not applicable to me,Not applicable to me,No,4,Yes,usually relatively simple to adjust to physical limitations with some tools.,No,most employers don't know how to handle such issues and mostly see obstacles and expect more sick time,False,6,No,"Yes, I observed",2,"teach people how to recognise issues, how to respond and/or how to find the right person to help.",True,37,male,Netherlands,California,White,Netherlands,California
False,More than 1000,True,True,I don't know,No,No,No,Yes,Somewhat easy,Physical health,Yes,False,Maybe,True,False,7.0,7.0,True,True,Some did,"No, I only became aware later",None did,Some did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,9.0,6.0,Possibly,Possibly,True,Yes,Not applicable to me,Often,No,8,Maybe,"I feel like things not-relevant to my job would potentially not come up. It would depend. At the same time, it'd be pretty common place in an interview to say, ""I've been feeling ill lately"" or ""I recently broke my arm"" without thinking about it.",No,I would be worried it would affect how I am viewed in the interview and affect my candidacy for the position.,False,7,No,Maybe/Not sure,3,"I think there's a long way to go to make those of us who have a mental health issue feel safe to talk about it. It feel like a risk almost every time right now.

That may be through talking about it more to reduce stigma, or making mental health as commonplace as physical health. Explicit safety statements could be good, as well. 

Personally a large part of why I would hide mental health issues is shame. The stigma of the past is strong.",True,31,Male,United States of America,Connecticut,White,United States of America,Connecticut
False,500-1000,True,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Same level of comfort for each,Yes,True,Yes,True,False,7.0,5.0,False,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.587837837837838,3.527027027027027,Yes,Yes,True,Yes,Rarely,Often,No,6,No,"
",No,"
",False,5,No,No,4,"
",True,37,Male,United States of America,Georgia,White,United States of America,Georgia
False,100-500,True,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Physical health,No,False,No,False,False,7.0,7.0,True,True,"Yes, they all did",I was aware of some,None did,None did,No,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,10.0,2.0,Yes,Don't Know,True,No,Sometimes,Often,Yes,2,Yes,"
",No,fear of discrimination,False,2,"Yes, I observed","Yes, I observed",3,"make it easier to talk about and get support for. for example, make it company policy that leaving work for therapy or mental health related appointments is okay",True,26,female,United States of America,Pennsylvania,White,United States of America,Pennsylvania
False,100-500,False,True,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Physical health,Maybe,True,Maybe,True,False,4.0,2.0,True,False,"No, none did",N/A (none offered),Some did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,4.0,1.0,Yes,Possibly,False,No,Rarely,Often,No,9,Maybe,"It depends on the circumstance--whether the health issue might have a reasonable impact on one's ability to succeed at the job, or not.",No,"Mental health is still largely stigmatised. Unless the interviewer mentions his/her own struggles **first**, it's arguably too risky to bring up one's own issues in an interview setting even if they are a non-factor in one's ability to do the job offered.",False,7,No,Maybe/Not sure,3,"Society, in general, needs better education about ""invisible"" health matters--both mental and physical!",False,43,M,Canada,California,White,Canada,California
False,100-500,True,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,True,Yes,True,True,7.0,9.0,True,False,Some did,I was aware of some,Some did,Some did,Sometimes,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,True,False,5.0,5.0,Possibly,Yes,True,Yes,Sometimes,Often,No,9,Maybe,It depends on the issue. I would be worried that a serious issue would cost me a job. ,No,It could cost me a job. I'd rather conceal an issue and get a job that could help me get treatment than be honest and lose the job. ,False,9,"Yes, I observed","Yes, I experienced",2,"I think the tech industry encourages a very unhealthy, lone-wolf, ""me vs them"" mentality. If someone asks a ?, ""RTFM"" is still a very common attitude. Asking for help from our colleagues is an important part of who we are as humans, and yet  we discourage that in so many ways. I'd like to see fewer lone wolf heroes in the press and more stories about how someone brought a team together and made sure everyone was happy and felt safe discussing things. ",True,35,Male,United States of America,North Carolina,White,United States of America,North Carolina
True,More than 1000,True,True,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Yes,False,Maybe,False,False,6.328947368421052,4.878289473684211,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,False,True,4.0,4.0,No,No,False,Yes,Not applicable to me,Not applicable to me,No,1,Maybe,"
",Maybe,"
",False,3,No,Maybe/Not sure,4,"
",True,31,male,Turkey,California,White,Turkey,California
False,100-500,True,True,Yes,No,Yes,I don't know,Yes,Very easy,Same level of comfort for each,Yes,False,Yes,True,False,6.0,6.0,True,False,"No, none did",N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,True,1.0,1.0,Possibly,Possibly,False,Yes,Not applicable to me,Sometimes,No,10,No,Too personal for an interview ,No,Too personal for an interview,False,10,"Yes, I observed","Yes, I observed",3,Start-ups often lack the experienced HR people to inform employees about the extent of their benefits,False,32,F,United States of America,New York,I prefer not to answer,United States of America,New York
False,More than 1000,True,True,Yes,Yes,Yes,Yes,I don't know,I don't know,Physical health,Maybe,False,No,False,False,7.0,6.0,True,True,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",True,True,6.0,5.0,Yes,Possibly,True,I don't know,Sometimes,Often,No,7,No,"
",No,"
",False,3,Maybe/Not sure,No,3,"
",False,37,Male,United States of America,Wisconsin,White,United States of America,Washington
False,6-25,True,True,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,True,Yes,False,False,8.0,7.0,True,True,Some did,I was aware of some,None did,Some did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,6.0,5.0,No,Don't Know,False,I don't know,Not applicable to me,Not applicable to me,No,6,No,Fear of being judged less capable.,No,Fear of being judged less capable.,False,5,No,No,3,Increased information & explicit support for people with mental health issues or disorders.,False,41,Male,United States of America,Tennessee,White,United States of America,Tennessee
False,100-500,True,False,Yes,Yes,Yes,Yes,I don't know,I don't know,Physical health,Yes,True,Yes,True,False,10.0,10.0,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",False,At some of my previous employers,True,True,1.0,1.0,Yes,Yes,True,Yes,Rarely,Often,Yes,8,No,"I strongly feel that this is neither anyone's right to know, nor business, if they have not hired me. ",No,same as above.,False,5,"Yes, I observed","Yes, I experienced",4,"unsure. My current company excels in treating employees like complex people, and I am unclear on how much it is this company, and how much it is the industry. ",False,40,f,United States of America,New York,I prefer not to answer,United States of America,New York
False,500-1000,True,True,I don't know,No,No,No,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,True,Yes,True,False,9.0,5.0,True,True,"No, none did","No, I only became aware later",Some did,None did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,True,False,9.0,5.0,Yes,Yes,True,I don't know,Sometimes,Sometimes,No,8,Yes,"If they need to make accommodations, it's better to let them know what they need to prepare for ",No,I feel there is still a stigma around mental health which I feel will impact the decision to hire ,True,5,"Yes, I observed",Maybe/Not sure,3,Increased awareness ,True,37,male,United States of America,New York,White,United States of America,New York
False,100-500,True,True,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,True,No,False,False,6.0,3.0,True,True,Some did,I was aware of some,None did,None did,No,Physical health,Some of my previous supervisors,True,At some of my previous employers,True,False,5.0,2.0,Possibly,Yes,True,Yes,Sometimes,Sometimes,No,2,No,"Laws notwithstanding, it is nearly impossible to prove discrimination.",No,"It's a competitive arena, especially if you want a job that pays a living wage.  When you're over 50, it's hard enough to get a job as it is.",False,3,"Yes, I experienced",No,2,"Enforce tolerance of diversity more than only X/Y chromosomes and ethnicity.  Arrange broader insurance coverage (eg. couples counseling) without EAP-like hurdles.  Recognize workplace microaggressions and address policies that exacerbate mental health issues:
* Harassment for not turning on a webcam during meetings.
* Company meals are all meat all the time.  Which makes it difficult for the rest of us to not be hungry during travel, repeatedly harassed for not eating, and drawing undue attention.  WeWork addressed this, everyone else can too.  If someone can't go for one @#$@ meal without meat, their ego disorders need to be fixed or fired.
* Stop tolerating and even encouraging bullying, which includes stack ranking. NTT and Cisco, this means YOU.",True,53,"Let's keep it simple and say ""male""",United States of America,Oregon,White,United States of America,Oregon
False,6-25,True,True,I don't know,No,No,No,I don't know,Very easy,Physical health,No,False,Yes,True,False,1.0,1.0,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,0.0,0.0,No,Possibly,True,Yes,Sometimes,Often,Maybe,0,Yes,"Physical concerns are quantifiable and ""Wheelchair Ramps"" are a viable solution. With mental health issues the concerns are not quantifiable and viable solutions can't be generated by anyone besides the afflicted.",No,I don't want it to affect my evaluation vs other applicants.,False,10,No,No,1,De-stigmatization.,True,29,male,United States of America,Tennessee,More than one of the above,United States of America,Tennessee
False,500-1000,True,True,I don't know,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,True,Yes,True,True,5.0,9.0,True,True,Some did,N/A (was not aware),None did,Some did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",True,"Yes, at all of my previous employers",True,False,3.0,7.0,Yes,Yes,True,Yes,Rarely,Sometimes,No,10,Maybe,"Well, physical is weird. Might make them think i’ll Take a ton of sick days",Maybe,"I don’t know them that well and I assume everyone has some form of these issues in a creative job like ours
",True,10,No,"Yes, I observed",5,"
",True,37,Male,United States of America,New York,White,United States of America,New York
False,100-500,False,True,I don't know,No,No,I don't know,I don't know,Somewhat easy,Physical health,No,False,No,False,False,10.0,0.0,True,True,Some did,I was aware of some,Some did,None did,I don't know,Physical health,Some of my previous supervisors,True,At some of my previous employers,True,True,8.0,5.0,Yes,Yes,True,Yes,Rarely,Sometimes,Yes,10,No,"It's not their business, especially if it doesn't affect my work.",No,It's not their business if it doesn't affect my work. And I wouldn't want it to affect my chances at getting hired.,False,5,Maybe/Not sure,"Yes, I experienced",4,"Discuss common issues in the workplace - burnout, stress, anxiety.",True,45,female,United States of America,Wisconsin,White,United States of America,Wisconsin
False,6-25,True,True,I don't know,No,No,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,True,Yes,True,False,6.0,6.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",True,"Yes, at all of my previous employers",True,True,6.0,6.0,Possibly,No,False,No,Not applicable to me,Often,No,10,No,That would burn all bridges towards a job I'd really want,No,That would burn all bridges towards a job I'd really want,False,10,No,"Yes, I experienced",3,Be. More. Open.,True,26,Male,Netherlands,California,White,Netherlands,California
False,100-500,True,True,Yes,Yes,Yes,Yes,I don't know,Very easy,Physical health,Yes,True,Maybe,True,True,5.0,7.0,True,True,Some did,N/A (was not aware),Some did,Some did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,7.0,3.0,Yes,Yes,True,Yes,Rarely,Often,No,8,Yes,"Because it probably won't affect my work, and if it does it will likely only do so temporarily.",No,Because I worry it would negatively affect my chances of getting the job.,False,9,Maybe/Not sure,"Yes, I experienced",4,Mandatory quarterly vacation.,True,28,Male,United States of America,Colorado,White,United States of America,Colorado
False,100-500,True,True,Yes,Yes,Yes,No,I don't know,I don't know,Physical health,Yes,True,No,False,False,7.0,7.0,False,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.587837837837838,3.527027027027027,Yes,Yes,True,I don't know,Sometimes,Sometimes,No,7,Yes,Physical issues are more widely accepted as reasons to be incapable of performing duties to their full extent. ,No,"Mental health issues have a much larger stigma around them that would negatively affect my chances at getting a job. Also as I can continue to function relatively normally with my issues, I can get away with not expressing them.",False,4,No,No,3,The industry could improve their support for mental health issues by continuing to normalize employees getting support for their issues and providing easy to understand documentation as to what is covered or not under their insurance plans. Also not pushing employees to work themselves to the bone/encouraging and supporting a healthy work life balance is important so that employees have the ability to take time off to deal with things that they need to.,False,24,Female,United States of America,Massachusetts,White,United States of America,Massachusetts
False,100-500,True,True,Yes,Yes,No,I don't know,I don't know,Very easy,Physical health,Maybe,False,Maybe,True,True,5.0,5.0,True,True,"Yes, they all did",I was aware of some,Some did,"Yes, they all did",I don't know,Mental health,Some of my previous supervisors,False,At some of my previous employers,True,True,5.0,5.0,Possibly,Possibly,False,Yes,Not applicable to me,Not applicable to me,No,7,No,"
",No,"
",False,5,"Yes, I observed",Maybe/Not sure,4,"
",False,27,Male,United States of America,Tennessee,White,United States of America,Tennessee
False,100-500,False,True,Yes,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,False,Maybe,False,False,8.0,7.0,True,False,Some did,I was aware of some,None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",True,"No, at none of my previous employers",True,False,7.0,5.0,No,Yes,True,No,Rarely,Sometimes,No,9,No,Only cross that bridge when it comes to you. Too much information ahead of time is not beneficial.,No,Same reasons as before. Only bring the information if required.,False,5,Maybe/Not sure,Maybe/Not sure,3,"For software engineers having a depression or a mental illness is almost the equivalent of disability. If your brain is not working properly, how can yo work?

We need to look at the issue in both sides, one as an employee and another as an employer. As a company, you need to meet deliverables so you can earn and pay your employees. As an employee, you need that time so you can heal and perform better and help the company to grow. Taking into consideration this perspective, you can't really blame neither the company or the employee.

So how do we fix this? (and this answer will be based on my experiences)

1 - Physical health is important. If your body is not well, your mind will not be as well. A healthy diet and sports should be a part of every company incentives for a healthy life.

2 - Burnout: A stressed software engineer will surely burn out quickly. Stress sources can come from many places, but most of them come from work demand with unreasonable deadlines. If a developer is working more than 40 hours a week on a constant basis, burning out is just a matter of time. Knowing that burnout/stress is an issue, the employee and the company MUST address it properly.

3 - Culture: This one speaks to me personally. One of the issues that I had the most were environments where there is a poisonous culture generated by the development team. Improper leadership and cliques just add to a bad culture and that will lead to stress. Unfortunately, there is no easy fix for this. If the culture of the company is bad you are better of leaving.

4 - Clear expectations: Once an issue has been identified and treatment is in progress it is important that both the company and the employee have clear expectations. The stress that is generated by an expectation that was not laid out on the start will surely add up to the illness.",False,42,Male,United States of America,Florida,White,United States of America,Florida
True,More than 1000,True,True,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Yes,False,Maybe,False,False,6.328947368421052,4.878289473684211,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,I don't know,False,"No, at none of my previous employers",False,False,2.0,2.0,No,No,False,No,Not applicable to me,Not applicable to me,No,5,Maybe,Depends on the specific issue and its relevance to the job.,Maybe,Depends on the issue and its relevance to the job.,False,5,No,No,4,I really don't know. My answer was based on the idea that things can always be better. But I don't know of anything that would say it is currently bad.,False,53,Female,United States of America,Minnesota,White,United States of America,Minnesota
False,100-500,False,True,Not eligible for coverage / NA,No,Yes,No,I don't know,Very easy,Physical health,Yes,False,Yes,True,True,9.0,6.0,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.0,0.0,Possibly,Don't Know,False,No,Not applicable to me,Not applicable to me,No,4,Maybe,"
",No,I would be concerned it would affect my chances of a job,False,10,"Yes, I observed","Yes, I observed",2,More awareness and education,True,34,Male,United Kingdom,California,White,United Kingdom,California
